"","model_id","models","RMSE_train","MAE_train","RMSE_test","MAE_test","RMSE_train_escala_original","MAE_train_escala_original","RMSE_test_escala_original","MAE_test_escala_original","times"
"1",1,"MERT time only + intercept",0.922068167984897,0.764776713717573,2.82510585429181,1.4078123063248,1795901.49506143,219151.803036236,555410.420845949,190901.090588083,79.2906954288483
"2",5,"MERF time only + intercept",0.915332608160339,0.759591430621741,2.82774958799209,1.40665641187357,1892757.60332464,224396.827669967,578207.163226713,195018.755723579,140.904643058777
"3",10,"Random Forests",0.470724211288875,0.377804200575763,2.75894813439105,1.28584187667117,1031585.71318141,113839.710889052,882189.633283621,206637.699772539,0.145040988922119
"4",9,"Regression Tree",0.721542498590495,0.572983990385982,2.78879546501386,1.34643147225698,1377189.53436806,158112.51588966,857211.901238821,215886.189839694,0.0342886447906494
"5",2,"MERT time only + intercept + slope",0.753023213905959,0.598872879651835,2.68892958286102,1.17857222431023,1219867.46626913,152048.832141142,2031041.1367397,263330.74235796,80.6415255069733
"6",6,"MERF time only + intercept + slope",0.743098305181213,0.59190035023553,2.69105271618256,1.18190124771347,1336644.8449085,155083.795111853,2029386.01813514,263988.251008079,144.398566484451
"7",12,"MERF all + intercept + slope + quadratic",0.358906535486135,0.271743833708775,2.79784621185907,1.3146074661708,677909.585991872,77175.3179228766,1892732.78610889,278997.856889151,63.3766808509827
"8",7,"MERF all + intercept + slope",0.406794862401799,0.317049986497843,2.68383386077991,1.18426169300138,712676.898640235,84689.8351648502,2612346.48114774,303024.983065266,36.2562124729156
"9",8,"MERF all + all",0.404867228871968,0.3154678631997,2.68788864783855,1.19366510455951,729740.89787323,86204.2861914187,2682442.7545725,309128.234838238,37.9084119796753
"10",4,"MERT all + all",0.665203275194387,0.52509270628155,2.71214729824412,1.25110425407097,1151839.44756687,138563.119170174,2779654.42846016,322768.206719434,57.8204429149628
"11",3,"MERT all + intercept + slope",0.625053591599138,0.493129093433758,2.71081912224915,1.24109836446755,1240167.50748992,147055.657280741,2800382.25390518,324757.1173463,12.4393093585968
"12",11,"MERT all + intercept + slope + quadratic",0.60030225854629,0.463644944464834,2.72134958653787,1.23849539533081,1338747.43014965,146706.635304813,3307641.00253307,373241.016551917,7.89643883705139
